case,system,pathway,commissioning_year,impact_year,root_activity_index,root_branch_depth,contributor,reference_product,location,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,denominator_net_stored_tonnes,method,unit,package_sha256,foreground_sha256,cohort_foreground_sha256,calculation_timestamp
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,306,2,CCS infrastructure and end-of-life,,,260.7601318359375,0.0017454467213172905,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,5332,2,CCS infrastructure and end-of-life,,,34991.3046875,0.23422084354458783,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,14326,2,CCS infrastructure and end-of-life,,,5.44270133972168,3.6431739551748316e-05,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,20279,2,CCS infrastructure and end-of-life,,,35953.140625,0.24065907231726993,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,25298,2,CCS infrastructure and end-of-life,,,12555.251953125,0.08404092758582628,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,45603,2,Compression and recompression,,,34253.578125,0.22928273279629882,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,12805,2,New CHP infrastructure and end-of-life,,,52456.2578125,0.3511257743534552,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,13342,2,New CHP infrastructure and end-of-life,,,88495.859375,0.5923635891296235,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,19328,2,New CHP infrastructure and end-of-life,,,1996.0230712890625,0.013360753812040412,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-PkBudg1000,2030,2027,49202,2,Pipeline and geological storage,,,1054910.75,7.061242441111929,149394.49520357835,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,kg CO2-Eq,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,9cf8a14af9338cdf5cc7ab6fbf96c385005685c274db0f98fab48559986efd35,2026-08-22T09:17:01.361222+00:00
