case,system,pathway,commissioning_year,operation_year,period,view,contributor,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,denominator_net_stored_tonnes,rank,unit,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"forest carbon regrowth differential, existing spruce forest vs standing stock, LCSS 2026 | SE",-8538779.455058046,-1143.1183516397093,7469.724760178917,1,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"operation of new Nordic spruce CHP with post-combustion capture, excluding capture equipment, LCSS 2026 | ENC",912907.8167427152,122.21438487391455,7469.724760178917,2,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,supply of forest residue | ENC,596083.1900473287,79.79988676758836,7469.724760178917,3,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | FI",-288752.6094562156,-38.65639213315529,7469.724760178917,4,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | SE",-228716.64261835028,-30.619152641023415,7469.724760178917,5,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | ENC",215177.25951671123,28.806584770542102,7469.724760178917,6,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | DK",-212534.36759890482,-28.452770941698546,7469.724760178917,7,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"wood chipping, mobile chipper, at forest road | FI",64967.03618241011,8.69738019381239,7469.724760178917,8,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant | ENC",52302.56711343685,7.0019403381851095,7469.724760178917,9,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"harvesting, forestry harvester | FI",45361.2017198458,6.072673783332185,7469.724760178917,10,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,treatment of sewage sludge by anaerobic digestion | RoW,41658.96580897982,5.577041610831989,7469.724760178917,11,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"heat production, softwood chips from forest, at furnace 1000kW | ENC",-35421.58607442024,-4.7420202499632405,7469.724760178917,12,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014 | ENC",-33201.95406561518,-4.444869808672832,7469.724760178917,13,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,"heat production, light fuel oil, at industrial furnace 1MW | ENC",-25968.884105983823,-3.476551672214735,7469.724760178917,14,kg CO2-Eq,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2030,annual,activity,Other activities,226394.98212784613,30.308343265170517,7469.724760178917,15,kg CO2-Eq,9442100c7f96bb12c288
