case,system,model,pathway,region,commissioning_year,operation_start_year,operation_end_year,operation_year,period,plant_lifetime_years,annual_gross_captured_tonnes,annual_net_stored_tonnes,denominator_net_stored_tonnes,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,method,indicator,unit,capacity_basis,package_sha256,foreground_sha256,calculation_timestamp,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2030,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7208522.479718324,-965.0318734830684,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,9442100c7f96bb12c288
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2031,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7214174.420466035,-965.7885199364747,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,2c731982945ddbc6fc0c
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2032,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7219716.383034185,-966.5304431995237,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2033,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7225147.248044896,-967.2574934169111,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,aabae9e22b3f89e6d5e5
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2034,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7230465.850637484,-967.9695146443787,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,73708b874c90aa902b1a
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2035,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7235671.1125906315,-968.666362536405,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,527a46ed042e3639cf3f
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2036,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7241205.916762575,-969.4073274781722,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,b90570e2a36196a2ea92
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2037,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7246608.708355656,-970.1306194021108,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,29653485b5e4b89050a0
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2038,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7251877.573157993,-970.8359820455144,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,9fb3a679f7d109452964
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,2030,2049,2039,annual,20,7684.902016644977,7469.724760178917,7469.724760178917,-7257010.562341827,-971.5231545115198,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",kg CO2-Eq,"6667 kW fuel input, 4000 operating hours per year and a 20-year lifetime stated by the CHP inventory.",cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2026-08-22T08:37:53+00:00,b1c3d6b2f7c67f2b2e0d
