provenance_id,contributor,contributor_type,score,unit,rank
830d4952e3db4af46987,"carbon dioxide, captured and stored, with a sorbent-based direct air capture system, 100ktCO2, with heat pump heat, and grid electricity | carbon dioxide, captured | ENC",activity,-1028.8065671920776,kg CO2-Eq,1
830d4952e3db4af46987,supply of forest residue | forest residue | ENC,activity,-386.634672000952,kg CO2-Eq,2
830d4952e3db4af46987,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | FI",activity,188.67085284440367,kg CO2-Eq,3
830d4952e3db4af46987,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | SE",activity,149.30866500577568,kg CO2-Eq,4
830d4952e3db4af46987,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | DK",activity,138.74470277317695,kg CO2-Eq,5
830d4952e3db4af46987,"carbon dioxide transport extension, pipeline 50 to 2000 km, LCSS 2026 | carbon dioxide transport extension | ENC",activity,28.8065847705421,kg CO2-Eq,6
830d4952e3db4af46987,"plywood production | wood chips, dry, measured as dry mass | ENC",activity,-11.305267542568712,kg CO2-Eq,7
830d4952e3db4af46987,"three and five layered board production | wood chips, dry, measured as dry mass | ENC",activity,-8.642634154601447,kg CO2-Eq,8
830d4952e3db4af46987,treatment of sewage sludge by anaerobic digestion | biogas | RoW,activity,-8.534306364003067,kg CO2-Eq,9
830d4952e3db4af46987,"electricity production, at biomass-fired IGCC power plant | electricity, high voltage | ENC",activity,7.803587926717093,kg CO2-Eq,10
830d4952e3db4af46987,"electricity production, natural gas, subcritical, steam cycle | electricity, high voltage | ENC",activity,7.202654321335003,kg CO2-Eq,11
830d4952e3db4af46987,"hardwood forestry, beech, sustainable forest management | sawlog and veneer log, hardwood, with bark, green, measured as green volume under bark | ENC",activity,-5.719396931101526,kg CO2-Eq,12
830d4952e3db4af46987,Other,activity,97.92929370927705,kg CO2-Eq,13
830d4952e3db4af46987,"Carbon dioxide, in air | natural resource | in air",biosphere flow,-1500.6488161321577,kg CO2-Eq,1
830d4952e3db4af46987,"Carbon dioxide, non-fossil | air | urban air close to ground",biosphere flow,479.3467007929117,kg CO2-Eq,2
830d4952e3db4af46987,"Carbon dioxide, non-fossil | air | unspecified",biosphere flow,107.41171699668803,kg CO2-Eq,3
830d4952e3db4af46987,"Carbon dioxide, fossil | air | non-urban air or from high stacks",biosphere flow,37.15117071118892,kg CO2-Eq,4
830d4952e3db4af46987,"Carbon dioxide, non-fossil, resource correction | natural resource | in air",biosphere flow,-32.791859469301336,kg CO2-Eq,5
830d4952e3db4af46987,"Carbon dioxide, fossil | air | urban air close to ground",biosphere flow,28.463536386022223,kg CO2-Eq,6
830d4952e3db4af46987,"Carbon dioxide, fossil | air | unspecified",biosphere flow,27.34179082160431,kg CO2-Eq,7
