case,system,model,pathway,region,year,functional_unit,functional_unit_amount,forest_case,chp_treatment,method,indicator,score,unit,package_id,package_sha256,foreground_sha256,premise_version,trails_version,source_database,calculation_timestamp,provenance_id
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2025,1 net tonne biogenic CO2 stored after transport loss,1.0,not applicable,not applicable,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-831.176502834084,kg CO2-Eq,lcss2026_remind_eu_ssp2_npi,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,830d4952e3db4af46987
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2025,1 net tonne biogenic CO2 stored after transport loss,1.0,existing mature forest remains standing at constant carbon stock,new CHP+CCS vs standing forest and Northern European energy,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-963.0666427810562,kg CO2-Eq,lcss2026_remind_eu_ssp2_npi,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,ee0f432f70d854d07c71
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2030,1 net tonne biogenic CO2 stored after transport loss,1.0,not applicable,not applicable,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-880.8036434649148,kg CO2-Eq,lcss2026_remind_eu_ssp2_npi,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,efdf78b91f27f08027dc
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2030,1 net tonne biogenic CO2 stored after transport loss,1.0,existing mature forest remains standing at constant carbon stock,new CHP+CCS vs standing forest and Northern European energy,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-965.031873483064,kg CO2-Eq,lcss2026_remind_eu_ssp2_npi,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,ae6e28ac79e4a08cd64c
DACCS,not applicable,remind-eu,SSP2-NPi,ENC,2050,1 net tonne biogenic CO2 stored after transport loss,1.0,not applicable,not applicable,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-916.2606751831357,kg CO2-Eq,lcss2026_remind_eu_ssp2_npi,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,4331603c2cfdd29aaeb3
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-NPi,ENC,2050,1 net tonne biogenic CO2 stored after transport loss,1.0,existing mature forest remains standing at constant carbon stock,new CHP+CCS vs standing forest and Northern European energy,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-976.3300528233076,kg CO2-Eq,lcss2026_remind_eu_ssp2_npi,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,37335584a26e16fb1066
DACCS,not applicable,remind-eu,SSP2-PkBudg1000,ENC,2025,1 net tonne biogenic CO2 stored after transport loss,1.0,not applicable,not applicable,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-831.1727570492495,kg CO2-Eq,lcss2026_remind_eu_ssp2_pkbudg1000,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,3f7867fe9652b5e1d70e
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-PkBudg1000,ENC,2025,1 net tonne biogenic CO2 stored after transport loss,1.0,existing mature forest remains standing at constant carbon stock,new CHP+CCS vs standing forest and Northern European energy,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-963.067989663759,kg CO2-Eq,lcss2026_remind_eu_ssp2_pkbudg1000,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,e4d890d8b30819db05bf
DACCS,not applicable,remind-eu,SSP2-PkBudg1000,ENC,2030,1 net tonne biogenic CO2 stored after transport loss,1.0,not applicable,not applicable,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-880.9192225254764,kg CO2-Eq,lcss2026_remind_eu_ssp2_pkbudg1000,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,411b940796a9d08d88e0
BECCS,new CHP+CCS vs standing forest and Northern European energy,remind-eu,SSP2-PkBudg1000,ENC,2030,1 net tonne biogenic CO2 stored after transport loss,1.0,existing mature forest remains standing at constant carbon stock,new CHP+CCS vs standing forest and Northern European energy,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,"global warming potential (GWP100), including biogenic CO2",-966.459409944213,kg CO2-Eq,lcss2026_remind_eu_ssp2_pkbudg1000,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152,b26a2d4d1a33dd6236b4ca552212fc6cbe8a750fa73a449c196702fba2290c60,2.4.9.1,1.0.1,ecoinvent-3.12-cutoff,2026-08-22T08:34:30+00:00,8f24254c04f6a4d05d15
