model,model_version,scenario,region,year,stage,group,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2020,Primary input to electricity,Fossil,9.998249,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2030,Primary input to electricity,Fossil,8.125763,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2040,Primary input to electricity,Fossil,1.033585,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2050,Primary input to electricity,Fossil,1.738218,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2060,Primary input to electricity,Fossil,4.591991,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2070,Primary input to electricity,Fossil,4.935796,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2080,Primary input to electricity,Fossil,4.427121,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2090,Primary input to electricity,Fossil,3.917329,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2100,Primary input to electricity,Fossil,3.698126,EJ/yr,WEU; CEU,Primary Energy|Coal|Electricity; Primary Energy|Gas|Electricity; Primary Energy|Oil|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
IMAGE,3.4,SSP2-VLHO,Europe (WEU + CEU),2020,Primary input to electricity,Biomass,2.486093,EJ/yr,WEU; CEU,Primary Energy|Biomass|Electricity,IMAGE 3.4_SSP2_VLHO.xlsx
