model,model_version,scenario,region,layer,group,year,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2020,157.409297,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2030,151.005906,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2040,102.969102,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2050,39.428691,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2060,16.864891,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2070,9.905522,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2080,7.179968,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2090,7.365167,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Coal,2100,6.129037,EJ/yr,World,Primary Energy|Coal,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Oil,2020,173.106094,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Oil,2030,191.540203,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Oil,2040,144.437203,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Oil,2050,106.319898,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Oil,2060,88.843859,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Primary energy,Oil,2070,74.368727,EJ/yr,World,Primary Energy|Oil,IMAGE 3.4_SSP1_L.xlsx
