model,model_version,scenario,region,year,stage,group,destination,unit,source_regions,source_file_id,value,source_variables,allocation_method
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Electricity,Buildings,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,36.367034,Final Energy|Commercial|Appliances|Electricity; Final Energy|Commercial|Cooking|Electricity; Final Energy|Commercial|Cooling|Electricity; Final Energy|Commercial|Lighting|Electricity; Final Energy|Commercial|Space Heating|Electricity; Final Energy|Commercial|Water Heating|Electricity; Final Energy|Residential|Cooking|Electricity; Final Energy|Residential|Space Heating|Electricity; Final Energy|Residential|Water Heating|Electricity; Final Energy|Residential|Cleaning Appliances|Electricity; Final Energy|Residential|Cooling Appliance|Electricity; Final Energy|Residential|Refrigeration|Electricity; Final Energy|Residential|Small Appliances|Electricity,Direct sum of reported IMAGE variables
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Electricity,Industry,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,36.711445,Final Energy|Industry|Chemicals|Electricity; Final Energy|Industry|Fertilizer production|Electricity; Final Energy|Industry|Food Processing|Electricity; Final Energy|Industry|Iron and Steel|Electricity; Final Energy|Industry|Non-Metallic Minerals|Electricity; Final Energy|Industry|Other Sector|Electricity; Final Energy|Industry|Pulp and Paper|Electricity,Direct sum of reported IMAGE variables
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Electricity,Transport,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,1.950399,Final Energy|Transportation|Passenger; Final Energy|Transportation|Passenger|Bus|Electricity; Final Energy|Transportation|Passenger|Domestic Aviation|Electricity; Final Energy|Transportation|Passenger|Light Duty Vehicle|Electricity; Final Energy|Transportation|Passenger|Rail (high speed)|Electricity; Final Energy|Transportation|Passenger|Rail (low speed)|Electricity; Final Energy|Transportation|Freight; Final Energy|Transportation|Freight|Air|Electricity; Final Energy|Transportation|Freight|Heavy Truck|Electricity; Final Energy|Transportation|Freight|International Shipping|Electricity; Final Energy|Transportation|Freight|Medium Truck|Electricity; Final Energy|Transportation|Freight|National Shipping|Electricity; Final Energy|Transportation|Freight|Train|Electricity,Passenger modal carrier shares scaled by 1.00009841 to the reported service total; international passenger aviation excluded; Freight modal carrier shares scaled by 0.86983721 to the reported service total; international passenger aviation excluded
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Gases,Buildings,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,26.386263,Final Energy|Commercial|Cooking|Gases; Final Energy|Commercial|Space Heating|Gases; Final Energy|Commercial|Water Heating|Gases; Final Energy|Residential|Cooking|Natural Gas; Final Energy|Residential|Space Heating|Natural Gas; Final Energy|Residential|Water Heating|Natural Gas,Direct sum of reported IMAGE variables
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Gases,Industry,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,28.005871,Final Energy|Industry|Chemicals|Gases; Final Energy|Industry|Fertilizer production|Gases; Final Energy|Industry|Food Processing|Gases; Final Energy|Industry|Iron and Steel|Gases; Final Energy|Industry|Non-Metallic Minerals|Gases; Final Energy|Industry|Other Sector|Gases; Final Energy|Industry|Pulp and Paper|Gases,Direct sum of reported IMAGE variables
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Gases,Other + carbon management,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,0.000000,Final Energy|Carbon Management|Direct Air Capture|Gases,Direct sum of reported IMAGE variables
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Gases,Transport,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,2.186286,Final Energy|Transportation|Passenger; Final Energy|Transportation|Passenger|Bus|Gases; Final Energy|Transportation|Passenger|Domestic Aviation|Gases; Final Energy|Transportation|Passenger|Light Duty Vehicle|Gases; Final Energy|Transportation|Passenger|Rail (high speed)|Gases; Final Energy|Transportation|Passenger|Rail (low speed)|Gases; Final Energy|Transportation|Freight; Final Energy|Transportation|Freight|Air|Gas; Final Energy|Transportation|Freight|Heavy Truck|Gas; Final Energy|Transportation|Freight|International Shipping|Gas; Final Energy|Transportation|Freight|Medium Truck|Gas; Final Energy|Transportation|Freight|National Shipping|Gas; Final Energy|Transportation|Freight|Train|Gas,Passenger modal carrier shares scaled by 1.00009841 to the reported service total; international passenger aviation excluded; Freight modal carrier shares scaled by 0.86983721 to the reported service total; international passenger aviation excluded
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Heat,Buildings,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,5.759693,Final Energy|Commercial|Space Heating|Heat; Final Energy|Commercial|Water Heating|Heat; Final Energy|Residential|Space Heating|Heat; Final Energy|Residential|Water Heating|Heat,Direct sum of reported IMAGE variables
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Heat,Industry,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,6.448666,Final Energy|Industry|Chemicals|Heat; Final Energy|Industry|Fertilizer production|Heat; Final Energy|Industry|Food Processing|Heat; Final Energy|Industry|Iron and Steel|Heat; Final Energy|Industry|Non-Metallic Minerals|Heat; Final Energy|Industry|Other Sector|Heat; Final Energy|Industry|Pulp and Paper|Heat,Direct sum of reported IMAGE variables
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Heat,Transport,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,0.000000,Final Energy|Transportation|Passenger; Final Energy|Transportation|Freight,Passenger modal carrier shares scaled by 1.00009841 to the reported service total; international passenger aviation excluded; Freight modal carrier shares scaled by 0.86983721 to the reported service total; international passenger aviation excluded
IMAGE,3.4,SSP2-VLHO,World,2020,Final energy flow,Hydrogen,Buildings,EJ/yr,World,IMAGE 3.4_SSP2_VLHO.xlsx,0.000001,Final Energy|Commercial|Space Heating|Hydrogen; Final Energy|Commercial|Water Heating|Hydrogen; Final Energy|Residential|Space Heating|Hydrogen; Final Energy|Residential|Water Heating|Hydrogen,Direct sum of reported IMAGE variables
