model,scenario,year,database_name,source_database,premise_version,case,technology,region,r10_mapping_status,activity_key,functional_unit,method_family,category,indicator,unit,calculation_timestamp,provenance_id,contribution,contributor_name,contributor_product,contributor_location
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",-0.01396256861517034,three and five layered board production,"wood chips, dry, measured as dry mass",WEU
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",-0.013781028228634442,supply of forest residue,forest residue,WEU
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",0.009012028833489567,"electricity production, at wood burning power plant","electricity, high voltage",WEU
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",0.007881445310517024,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",GB
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",-0.006578286241099478,"softwood forestry, spruce, sustainable forest management","sawlog and veneer log, softwood, with bark, green, measured as green volume under bark",WEU
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",0.004695117267454691,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",DE
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",0.004180802250989355,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",NL
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",0.0039850292419816614,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",FI
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",-0.003925986241072998,glued solid timber production,"wood chips, dry, measured as dry mass",WEU
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",0.0034403979981276695,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage",IT
