model,scenario,year,database_name,source_database,premise_version,case,technology,region,r10_mapping_status,activity_key,functional_unit,method_family,category,indicator,unit,calculation_timestamp,provenance_id,score
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:GWP 100a, incl. H and bio CO2",0.07161831852503862
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:abiotic depletion potential (ADP): elements (ultimate reserves),3.7994153619162136e-06
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:soil quality index,1.4018866758028408
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', 'd9dca551098041ca8b469806048293e7')",1 kWh low-voltage electricity,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328800522:user deprivation potential (deprivation-weighted water consumption),0.1473413054436328
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'ee6295509a0d424e8d4628cebbaffe0e')",1 kg low-alloyed steel,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328818761:GWP 100a, incl. H and bio CO2",0.7976911289706623
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'ee6295509a0d424e8d4628cebbaffe0e')",1 kg low-alloyed steel,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328818761:abiotic depletion potential (ADP): elements (ultimate reserves),5.253539600825044e-06
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'ee6295509a0d424e8d4628cebbaffe0e')",1 kg low-alloyed steel,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328818761:soil quality index,3.5288939920421916
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'ee6295509a0d424e8d4628cebbaffe0e')",1 kg low-alloyed steel,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328818761:user deprivation potential (deprivation-weighted water consumption),0.3231488279045158
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'a309cf6b0e754a4f85273481cd915641')",1 vehicle-km passenger-car transport,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328829646:GWP 100a, incl. H and bio CO2",0.14445510292835662
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'a309cf6b0e754a4f85273481cd915641')",1 vehicle-km passenger-car transport,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328829646:abiotic depletion potential (ADP): elements (ultimate reserves),8.052105104997573e-06
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'a309cf6b0e754a4f85273481cd915641')",1 vehicle-km passenger-car transport,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328829646:soil quality index,2.5677635537706283
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'a309cf6b0e754a4f85273481cd915641')",1 vehicle-km passenger-car transport,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328829646:user deprivation potential (deprivation-weighted water consumption),0.07204546109333872
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', '95f45ad37dbd4def9dd7825a1f215182')",1 kg unspecified cement,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328797645:GWP 100a, incl. H and bio CO2",0.6739931935093616
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', '95f45ad37dbd4def9dd7825a1f215182')",1 kg unspecified cement,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328797645:abiotic depletion potential (ADP): elements (ultimate reserves),2.0544537252064056e-06
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', '95f45ad37dbd4def9dd7825a1f215182')",1 kg unspecified cement,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328797645:soil quality index,0.6866478081332729
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2040', '95f45ad37dbd4def9dd7825a1f215182')",1 kg unspecified cement,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328797645:user deprivation potential (deprivation-weighted water consumption),0.06213115427430673
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', '10072bf4d01e427492fa280777103c5c')",1 kg CO2 captured and durably stored,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328828682:GWP 100a, incl. H and bio CO2",-0.7361764252185121
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', '10072bf4d01e427492fa280777103c5c')",1 kg CO2 captured and durably stored,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328828682:abiotic depletion potential (ADP): elements (ultimate reserves),2.171757901163003e-06
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', '10072bf4d01e427492fa280777103c5c')",1 kg CO2 captured and durably stored,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328828682:soil quality index,3.250594108149488
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', '10072bf4d01e427492fa280777103c5c')",1 kg CO2 captured and durably stored,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328828682:user deprivation potential (deprivation-weighted water consumption),0.2377644733580696
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'bf994ba7b79246e98454877612729ade')",1 kg CO2 captured and durably stored,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2040:338987850328828466:GWP 100a, incl. H and bio CO2",-0.8053955400295953
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'bf994ba7b79246e98454877612729ade')",1 kg CO2 captured and durably stored,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328828466:abiotic depletion potential (ADP): elements (ultimate reserves),1.3516551966976424e-06
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'bf994ba7b79246e98454877612729ade')",1 kg CO2 captured and durably stored,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328828466:soil quality index,2.284661050096762
image,SSP1-L,2040,esd-ei312-cutoff-image-ssp1-l-2040,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2040', 'bf994ba7b79246e98454877612729ade')",1 kg CO2 captured and durably stored,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2040:338987850328828466:user deprivation potential (deprivation-weighted water consumption),0.15602701428561824
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2060', '5d68a29ca8274ae99ea8454a5f86d967')",1 kWh low-voltage electricity,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2060:338987850328851297:GWP 100a, incl. H and bio CO2",0.03252873886961197
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2060', '5d68a29ca8274ae99ea8454a5f86d967')",1 kWh low-voltage electricity,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328851297:abiotic depletion potential (ADP): elements (ultimate reserves),3.688142926138512e-06
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2060', '5d68a29ca8274ae99ea8454a5f86d967')",1 kWh low-voltage electricity,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328851297:soil quality index,0.839808637255031
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,electricity,low-voltage electricity,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2060', '5d68a29ca8274ae99ea8454a5f86d967')",1 kWh low-voltage electricity,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328851297:user deprivation potential (deprivation-weighted water consumption),0.09560691095344666
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', 'df4be681b1dc476492b49531512fd6a5')",1 kg low-alloyed steel,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2060:338987850328869536:GWP 100a, incl. H and bio CO2",0.4823157030247289
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', 'df4be681b1dc476492b49531512fd6a5')",1 kg low-alloyed steel,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328869536:abiotic depletion potential (ADP): elements (ultimate reserves),4.035770739850517e-06
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', 'df4be681b1dc476492b49531512fd6a5')",1 kg low-alloyed steel,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328869536:soil quality index,2.582628423242335
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,steel,low-alloyed steel market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', 'df4be681b1dc476492b49531512fd6a5')",1 kg low-alloyed steel,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328869536:user deprivation potential (deprivation-weighted water consumption),0.21758116199269925
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '0c03a24fa02d4b36ad86c1d17c646125')",1 vehicle-km passenger-car transport,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2060:338987850328880429:GWP 100a, incl. H and bio CO2",0.06615619569342905
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '0c03a24fa02d4b36ad86c1d17c646125')",1 vehicle-km passenger-car transport,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328880429:abiotic depletion potential (ADP): elements (ultimate reserves),9.021768838249229e-06
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '0c03a24fa02d4b36ad86c1d17c646125')",1 vehicle-km passenger-car transport,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328880429:soil quality index,2.0485136765105265
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,passenger_cars,passenger-car transport market,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '0c03a24fa02d4b36ad86c1d17c646125')",1 vehicle-km passenger-car transport,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328880429:user deprivation potential (deprivation-weighted water consumption),0.06044436981326519
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2060', '2c7784c9dec14f8b8c7e209916a34966')",1 kg unspecified cement,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2060:338987850328848420:GWP 100a, incl. H and bio CO2",0.40310811829456744
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2060', '2c7784c9dec14f8b8c7e209916a34966')",1 kg unspecified cement,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328848420:abiotic depletion potential (ADP): elements (ultimate reserves),2.3240053382905965e-06
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2060', '2c7784c9dec14f8b8c7e209916a34966')",1 kg unspecified cement,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328848420:soil quality index,0.783356846436188
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,cement,unspecified cement market,CH,exact country within R10 Europe,"('esd-ei312-cutoff-image-ssp1-l-2060', '2c7784c9dec14f8b8c7e209916a34966')",1 kg unspecified cement,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328848420:user deprivation potential (deprivation-weighted water consumption),0.0699130081827995
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '7485f65f22384b73b9c152fb4bb82b91')",1 kg CO2 captured and durably stored,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2060:338987850328879459:GWP 100a, incl. H and bio CO2",-0.8635976969578886
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '7485f65f22384b73b9c152fb4bb82b91')",1 kg CO2 captured and durably stored,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328879459:abiotic depletion potential (ADP): elements (ultimate reserves),2.3383274068577346e-06
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '7485f65f22384b73b9c152fb4bb82b91')",1 kg CO2 captured and durably stored,EF v3.1,land use,soil quality index,dimensionless,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328879459:soil quality index,3.0247092960381208
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,dac,sorbent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '7485f65f22384b73b9c152fb4bb82b91')",1 kg CO2 captured and durably stored,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,2026-08-03T11:11:51.683086+00:00,esd-ei312-cutoff-image-ssp1-l-2060:338987850328879459:user deprivation potential (deprivation-weighted water consumption),0.16136754515867135
image,SSP1-L,2060,esd-ei312-cutoff-image-ssp1-l-2060,ecoinvent-3.12-cutoff,2.4.6,dac,solvent-based DAC,WEU,approximate,"('esd-ei312-cutoff-image-ssp1-l-2060', '84100cacce654736b160cb18631e4f6a')",1 kg CO2 captured and durably stored,IPCC 2021,climate change,"GWP 100a, incl. H and bio CO2",kg CO2-Eq,2026-08-03T11:11:51.683086+00:00,"esd-ei312-cutoff-image-ssp1-l-2060:338987850328879243:GWP 100a, incl. H and bio CO2",-0.900963748513601
