premise_version,sector,model,mapped_variable_count,source_file,counting_rule
2.4.6,Electricity,image,49,electricity.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Electricity,message,42,electricity.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Electricity,remind,32,electricity.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Electricity,remind-eu,32,electricity.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Electricity,tiam-ucl,61,electricity.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Electricity,gcam,37,electricity.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Final energy,image,314,final_energy.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Final energy,message,133,final_energy.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Final energy,remind,217,final_energy.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Final energy,remind-eu,217,final_energy.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Final energy,tiam-ucl,102,final_energy.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Final energy,gcam,126,final_energy.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Fuels,image,54,fuels.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Fuels,message,23,fuels.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Fuels,remind,42,fuels.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Fuels,remind-eu,42,fuels.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Fuels,tiam-ucl,41,fuels.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Fuels,gcam,38,fuels.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
